term,int_rate,dti,fico_range_low,total_rec_int,total_rec_late_fee,last_fico_range_high,last_fico_range_low,acc_open_past_24mths,num_tl_op_past_12m,loan_to_income,loan_int_rate_interaction
36,13.67,10.89,665.0,628.5,0.0,544.0,540.0,8.0,3.0,0.04774472487102293,49212.0
60,13.18,16.56,675.0,4766.07,0.0,734.0,730.0,3.0,1.0,0.36807126044214705,315331.5
36,7.89,15.27,710.0,1429.63,0.0,769.0,765.0,9.0,5.0,0.2133304889268143,126240.0
36,9.8,10.55,680.0,1192.88,16.09,639.0,635.0,2.0,1.0,0.10869447071227487,98000.0
60,18.49,10.73,665.0,12341.62,0.0,754.0,750.0,0.0,0.0,0.3529370242703027,554700.0
36,6.24,9.75,715.0,490.97,0.0,734.0,730.0,1.0,1.0,0.0624992187597655,31200.0
36,9.8,35.73,720.0,280.26,0.0,674.0,670.0,2.0,0.0,0.046295224647577606,19600.0
36,11.22,18.0,675.0,3843.48,0.0,674.0,670.0,1.0,0.0,0.4597726136388339,237303.0
36,7.26,23.57,710.0,1723.11,0.0,769.0,765.0,4.0,4.0,0.24283509979004883,139392.0
36,8.38,20.13,695.0,526.03,0.0,619.0,615.0,2.0,0.0,0.22856489814576728,67040.0
36,11.22,6.18,705.0,1358.19,0.0,559.0,555.0,4.0,2.0,0.13333244445037032,224400.0
36,13.67,32.64,660.0,222.71,0.0,709.0,705.0,2.0,1.0,0.00980382545269164,13670.0
60,9.76,29.25,715.0,6276.0,0.0,574.0,570.0,5.0,1.0,0.3181789256461305,341600.0
60,9.17,9.05,750.0,4483.91,0.0,779.0,775.0,9.0,6.0,0.27777469139231786,229250.0
36,6.89,22.41,705.0,1640.72,0.0,784.0,780.0,1.0,0.0,0.19999733336888842,103350.0
36,15.41,31.65,670.0,4011.91,0.0,674.0,670.0,2.0,1.0,0.39999000024999376,246560.0
60,13.67,6.96,660.0,2166.18,0.0,674.0,670.0,11.0,5.0,0.09999916667361106,164040.0
60,11.99,26.1,705.0,6502.48,0.0,774.0,770.0,4.0,2.0,0.22727125148537997,419650.0
36,11.49,12.61,665.0,1863.22,0.0,659.0,655.0,4.0,2.0,0.09090826447032299,114900.0
36,16.99,26.97,690.0,1685.72,0.0,664.0,660.0,3.0,2.0,0.14999625009374765,101939.99999999999
36,8.38,14.66,715.0,2877.37,0.0,634.0,630.0,10.0,4.0,0.25861846018568807,251400.00000000003
36,15.41,23.85,680.0,483.74,0.0,769.0,765.0,6.0,2.0,0.30768639064633374,246560.0
36,13.18,36.0,665.0,1479.21,0.0,759.0,755.0,5.0,4.0,0.31248697970917877,98850.0
